Fiestas nacionales,Andalucía,Aragón,Principado de Asturias,Balears (Illes),Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña,Comunidad Valenciana,Extremadura,Galicia,Madrid,Murcia,Comunidad Foral de Navarra,País Vasco,Rioja,Ceuta,Melilla
06/01/2017,28/02/2017,24/04/2017,08/09/2017,01/03/2017,30/05/2017,28/07/2017,24/04/2017,31/05/2017,11/09/2017,09/10/2017,08/09/2017,25/07/2017,02/05/2017,09/06/2017,13/04/2017,13/04/2017,09/06/2017,02/09/2017,02/01/2017
14/04/2017,02/01/2017,02/01/2017,02/01/2017,13/04/2017,13/04/2017,13/04/2017,02/01/2017,13/04/2017,Laborable,13/04/2017,13/04/2017,13/04/2017,13/04/2017,02/01/2017,25/07/2017,Laborable,13/04/2017,Laborable,Laborable
01/05/2017,13/04/2017,13/04/2017,13/04/2017,Laborable,Laborable,Laborable,13/04/2017,Laborable,Laborable,Laborable,Laborable,25/07/2017,Laborable,13/04/2017,Laborable,Laborable,Laborable,Laborable,Laborable
15/08/2017,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
12/10/2017,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
01/11/2017,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
06/12/2017,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
08/12/2017,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
25/12/2017,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
01/01/2018,28/02/2018,23/04/2018,08/09/2018,01/03/2018,30/05/2018,28/07/2018,23/04/2018,31/05/2018,02/04/2018,02/04/2018,08/09/2018,17/05/2018,02/05/2018,09/06/2018,02/04/2018,02/04/2018,09/06/2018,22/08/2018,22/08/2018
06/01/2018,Laborable,Laborable,Laborable,02/04/2018,Laborable,15/09/2018,Laborable,Laborable,11/09/2018,09/10/2018,Laborable,25/07/2018,Laborable,Laborable,Laborable,Laborable,Laborable,02/09/2018,Laborable
29/03/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,26/12/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
30/03/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
01/05/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
15/08/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
12/10/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
01/11/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
06/12/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
08/12/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
25/12/2018,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
01/01/2019,07/01/2019,07/01/2019,07/01/2019,01/03/2019,07/01/2019,18/04/2019,07/01/2019,18/04/2019,22/04/2019,19/03/2019,07/01/2019,19/03/2019,07/01/2019,07/01/2019,07/01/2019,19/03/2019,18/04/2019,07/01/2019,07/01/2019
19/04/2019,28/02/2019,18/04/2019,18/04/2019,18/04/2019,18/04/2019,22/04/2019,18/04/2019,22/04/2019,24/06/2019,22/04/2019,18/04/2019,18/04/2019,18/04/2019,19/03/2019,19/03/2019,18/04/2019,22/04/2019,18/04/2019,18/04/2019
01/05/2019,18/04/2019,23/04/2019,09/09/2019,22/04/2019,30/05/2019,25/07/2019,23/04/2019,31/05/2019,11/09/2019,24/06/2019,09/09/2019,17/05/2019,02/05/2019,18/04/2019,18/04/2019,22/04/2019,10/06/2019,12/08/2019,12/08/2019
15/08/2019,09/12/2019,09/12/2019,09/12/2019,26/12/2019,Laborable,09/12/2019,09/12/2019,20/06/2019,26/12/2019,09/10/2019,09/12/2019,25/07/2019,09/12/2019,10/06/2019,22/04/2019,25/07/2019,09/12/2019,02/09/2019,09/12/2019
12/10/2019,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
01/11/2019,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
06/12/2019,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
25/12/2019,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable,Laborable
